lessonIdx|line|kanji|hiragana|phon|eng
74|2|これはペンですか。|これはペンですか。|Kore wa pen desu ka.|Is this a pen?
74|3|はい、それはペンです。|はい、それはペンです。|Hai, sore wa pen desu.|Yes, it is.
75|1|答えてください。|答えてください。|Answer please|Answer please
75|2|これはかばんですか。|これはかばんですか。|Kore wa kaban desu ka.|Is this a bag?
75|3|はい、それはかばんです。|はい、それはかばんです。|Hai, sore wa pen desu.|Yes, it is.
76|1|答えてください。|答えてください。|Answer please|Answer please
76|2||||
76|3||||
77|1|聞いてください|聞いてください|Listen please|Listen please
77|2|それは雑誌ですか。|それはざっしですか。|Sore wa zasshi desu ka.|Is that a magazine?
77|3|はい、これは雑誌です。|はい、これはざっしです。|Hai, kore wa zasshi desu.|Yes, this is a magazine.
78|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
78|2|それは雑誌ですか。|それはざっしですか。|Sore wa zasshi desu ka.|Is that a magazine?
78|3||||
79|1|言って下さい。|言って下さい。|Say it, please|Say it, please
79|2|それは雑誌ですか。|それはざっしですか。|Sore wa zasshi desu ka.|Is that a magazine?
79|3|はい、これは雑誌です。|はい、これはざっしです。|Hai, kore wa zasshi desu.|Yes, this is a magazine.
80|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
80|2|はい、これは雑誌です。|はい、これはざっしです。|Hai, kore wa zasshi desu.|Yes, this is a magazine.
80|3||||
81|1|答えてください。|答えてください。|Answer please|Answer please
81|2|それは雑誌ですか。|それはざっしですか。|Sore wa zasshi desu ka.|Is that a magazine?
81|3|はい、これは雑誌です。|はい、これはざっしです。|Hai, kore wa zasshi desu.|Yes, this is a magazine.
82|1|言って下さい。|言って下さい。|Say it, please|Say it, please
82|2|おはし|おはし|ohashi|chopsticks
82|3||||
83|1|言って下さい。|言って下さい。|Say it, please|Say it, please
83|2|雑誌|ざっし|zasshi|magazine
83|3||||
84|1|言って下さい。|言って下さい。|Say it, please|Say it, please
84|2||||
84|3||||
85|1|答えてください。|答えてください。|Answer please|Answer please
85|2|それは雑誌ですか。|それはざっしですか。|Sore wa zasshi desu ka.|Is that a magazine?
85|3|はい、これは雑誌です。|はい、これはざっしです。|Hai, kore wa zasshi desu.|Yes, this is a magazine.
86|1|答えてください。|答えてください。|Answer please|Answer please
86|2|それははしですか。|それははしですか。|Sore wa hashi desu ka.|Are those chopsticks?
86|3|はい、それはおはしです。|はい、それはおはしです。|Hai, sore wa ohashi desu.|Yes, they are.
87|1|答えてください。|答えてください。|Answer please|Answer please
87|2||||
87|3||||
88|1|答えてください。|答えてください。|Answer please|Answer please
88|2|これはカメラですか。|これはカメラですか。|Kore wa kamera desu ka.|Is this a camera?
88|3|いいえ、それはカメラではありません。|いいえ、それはカメラではありません。|Iie, sore wa kamera dewa arimasen.|No, it is not a camera.
89|1|答えてください。|答えてください。|Answer please|Answer please
89|2|これは灰皿ですか。|これははいざらですか。|Kore wa haizara desu ka.|Is this an ashtray?
89|3|いいえ、それは灰皿ではありません。|いいえ、それははいざらではありません。|Iie, sore wa haizara dewa arimasen.|No, it is not an ashtray.
90|1|答えてください。|答えてください。|Answer please|Answer please
90|2|それは切符ですか。|それはきっぷですか。|Sore wa kippu desu ka.|Is that a ticket?
